date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2024-04-17","157.19","158.68","156.14","156.88","156.15","16237800","16237800","-0.31","-0.19721","157.2225","April 17, 24","-0.0019721",
"2024-04-16","155.64","157.23","155.05","156","155.27","15413201","15413201","0.36","0.2313","155.98","April 16, 24","0.002313",
"2024-04-15","160.28","160.83","156.15","156.33","155.6","21140948","21140948","-3.95","-2.46","158.3975","April 15, 24","-0.0246",
"2024-04-12","159.41","161.7","158.6","159.19","158.45","16989765","16989765","-0.215","-0.13801","159.725","April 12, 24","-0.0013801",
"2024-04-11","158.34","161.12","157.93","160.79","160.04","17841703","17841703","2.45","1.55","159.545","April 11, 24","0.0155",
"2024-04-10","157.88","158.16","156.2","157.66","156.93","16339200","16339200","-0.22","-0.13935","157.475","April 10, 24","-0.0013935",
"2024-04-09","157.35","159.89","156.64","158.14","157.4","21538140","21538140","0.79","0.50207","158.005","April 09, 24","0.0050207",
"2024-04-08","154.01","156.66","153.99","156.14","155.41","16641530","16641530","2.13","1.38","155.2","April 08, 24","0.0138",
"2024-04-05","151.68","154.84","151.08","153.94","153.22","16297319","16297319","2.26","1.49","152.885","April 05, 24","0.0149",
"2024-04-04","155.08","156.18","151.88","151.94","151.23","24184842","24184842","-3.14","-2.02","153.77","April 04, 24","-0.0202",
"2024-04-03","154.92","156.55","154.13","156.37","155.64","17266200","17266200","1.45","0.93597","155.4925","April 03, 24","0.0093597",
"2024-04-02","154.75","155.99","153.46","155.87","155.14","17598100","17598100","1.12","0.72375","155.0175","April 02, 24","0.0072375",
"2024-04-01","151.83","157","151.65","156.5","155.77","24469815","24469815","4.67","3.08","154.245","April 01, 24","0.0308",
"2024-03-28","152","152.67","151.33","152.26","151.55","21105628","21105628","0.26","0.17105","152.065","March 28, 24","0.0017105",
"2024-03-27","152.15","152.69","150.13","151.94","151.23","16622000","16622000","-0.205","-0.13802","151.7275","March 27, 24","-0.0013802",
"2024-03-26","151.24","153.2","151.03","151.7","150.99","19312700","19312700","0.46","0.30415","151.7925","March 26, 24","0.0030415",
"2024-03-25","150.95","151.46","148.8","151.15","150.45","15114728","15114728","0.2","0.13249","150.59","March 25, 24","0.0013249",
"2024-03-22","150.24","152.56","150.09","151.77","151.06","19252925","19252925","1.53","1.02","151.165","March 22, 24","0.0102",
"2024-03-21","150.32","151.31","148.01","148.74","148.05","19843915","19843915","-1.58","-1.05","149.595","March 21, 24","-0.0105",
"2024-03-20","148.79","149.76","147.67","149.68","148.98","17730000","17730000","0.89","0.59816","148.975","March 20, 24","0.0059816",
"2024-03-19","148.98","149.62","147.01","147.92","147.23","17748400","17748400","-1.06","-0.7115","148.3825","March 19, 24","-0.007115",
"2024-03-18","149.37","152.93","148.14","148.48","147.79","47676700","47676700","-0.89","-0.59584","149.73","March 18, 24","-0.0059584",
"2024-03-15","143.41","144.34","141.13","142.17","141.51","41039494","41039494","-1.24","-0.86465","142.7625","March 15, 24","-0.0086465",
"2024-03-14","142.3","144.73","141.49","144.34","143.67","36117913","36117913","2.04","1.43","143.215","March 14, 24","0.0143",
"2024-03-13","140.06","142.19","140.01","140.77","140.11","19637000","19637000","0.71","0.50693","140.7575","March 13, 24","0.0050693",
"2024-03-12","138.25","140.28","138.21","139.62","138.97","19019700","19019700","1.37","0.99096","139.09","March 12, 24","0.0099096",
"2024-03-11","137.07","139.98","137.07","138.94","138.29","22536400","22536400","1.87","1.36","138.265","March 11, 24","0.0136",
"2024-03-08","135.04","138.99","134.8","136.29","135.65","26495160","26495160","1.25","0.92565","136.28","March 08, 24","0.0092565",
"2024-03-07","133.89","135.82","132.66","135.24","134.61","24107300","24107300","1.35","1.01","134.4025","March 07, 24","0.0101",
"2024-03-06","134.24","134.74","131.95","132.56","131.94","23175200","23175200","-1.68","-1.25","133.3725","March 06, 24","-0.0125",
"2024-03-05","132.74","134.02","131.55","133.78","133.16","28447600","28447600","1.04","0.78349","133.0225","March 05, 24","0.0078349",
"2024-03-04","136.54","136.63","132.86","134.2","133.57","43571510","43571510","-2.34","-1.71","135.0575","March 04, 24","-0.0171",
"2024-03-01","139.61","140","137.98","138.08","137.44","28551525","28551525","-1.53","-1.1","138.9175","March 01, 24","-0.011",
"2024-02-29","138.35","139.95","137.57","139.78","139.13","35485006","35485006","1.43","1.03","138.9125","February 29, 24","0.0103",
"2024-02-28","139.1","139.28","136.64","137.43","136.79","30628702","30628702","-1.67","-1.2","138.1125","February 28, 24","-0.012",
"2024-02-27","139.41","140.49","138.5","140.1","139.45","22364000","22364000","0.69","0.49494","139.625","February 27, 24","0.0049494",
"2024-02-26","143.45","143.84","138.74","138.75","138.1","33513011","33513011","-4.7","-3.28","141.195","February 26, 24","-0.0328",
"2024-02-23","144.97","145.96","144.79","145.29","144.61","14519434","14519434","0.32","0.22074","145.2525","February 23, 24","0.0022074",
