date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2023-02-08","360.02","368.193","358.31","366.83","366.829987","6253179","6253200","6.81","1.89","364.53","February 08, 23","0.0189",
"2023-02-07","358.51","364.1799","354.18","362.95","362.95","6289368","6289400","4.44","1.24","359.68","February 07, 23","0.0124",
"2023-02-06","363.642","368.45","360.68","361.48","361.48","4994942","4994900","-2.162","-0.59454","363.5","February 06, 23","-0.0059454",
"2023-02-03","359.08","379.4301","359","365.9","365.899994","9402034","9397000","6.82","1.9","369.71","February 03, 23","0.019",
"2023-02-02","365.16","368.32","358.43","366.89","366.89","7856952","7857000","1.73","0.47376","364.37","February 02, 23","0.0047376",
"2023-02-01","353.86","365.385","349.91","361.99","361.98999","8005170","8005200","8.13","2.3","358.84","February 01, 23","0.023",
"2023-01-31","349.98","355.95","348.71","353.86","353.859985","5660738","5660700","3.88","1.11","352.83","January 31, 23","0.0111",
"2023-01-30","358.44","360.95","352.855","353.11","353.109985","5127593","5127600","-5.33","-1.49","355.75","January 30, 23","-0.0149",
"2023-01-27","363.2","365.92","360.59","360.77","360.769989","6703548","6696100","-2.43","-0.66905","362.72","January 27, 23","-0.0066905",
"2023-01-26","368.77","369.02","361.7","364.87","364.869995","8256844","8256800","-3.9","-1.06","365.17","January 26, 23","-0.0106",
"2023-01-25","360.57","368.8999","358.501","367.96","367.959991","7764807","7766900","7.39","2.05","363.68","January 25, 23","0.0205",
"2023-01-24","357.53","365.65","355.1401","363.83","363.829987","11786028","11796500","6.3","1.76","362.06","January 24, 23","0.0176",
"2023-01-23","341.715","362.2453","340.6329","357.42","357.42","15646853","15646900","15.705","4.6","355.4","January 23, 23","0.046",
"2023-01-20","336.79","344","332.625","342.5","342.5","28430114","28385600","5.71","1.7","338.76","January 20, 23","0.017",
"2023-01-19","322.57","324.89","313.39","315.78","315.779999","17991995","18008200","-6.79","-2.1","324.51","January 19, 23","-0.021",
"2023-01-18","326.75","330.08","321.25","326.33","326.329987","7814115","7814100","-0.42","-0.12854","325.02","January 18, 23","-0.0012854",
"2023-01-17","331.08","332.5","323.6","326.22","326.22","9246987","9247000","-4.86","-1.47","326.39","January 17, 23","-0.0147",
"2023-01-13","329.97","336.65","328.885","332.82","332.82","8286816","8277200","2.85","0.86371","333.1","January 13, 23","0.0086371",
"2023-01-12","332.5","332.95","323.14","330.13","330.13","10856246","10856200","-2.37","-0.71278","329.67","January 12, 23","-0.0071278",
"2023-01-11","326.5","328.88","321.35","327.26","327.26","9579681","9579700","0.76","0.23277","325.31","January 11, 23","0.0023277",
"2023-01-10","311.07","329.35","311.07","327.54","327.54","13072286","13072300","16.47","5.29","324.25","January 10, 23","0.0529",
"2023-01-09","316.83","321.7","313.22","315.17","315.17","6766628","6766600","-1.66","-0.52394","317.07","January 09, 23","-0.0052394",
"2023-01-06","311.57","316.77","303.69","315.55","315.549988","8959839","8949600","3.98","1.28","311.6","January 06, 23","0.0128",
"2023-01-05","307","314.18","304.545","309.7","309.7","8328390","8328400","2.7","0.87948","310.37","January 05, 23","0.0087948",
"2023-01-04","298.24","311.135","295.51","309.41","309.41","9305454","9345100","11.17","3.75","305.5","January 04, 23","0.0375",
